SubjID,Decision1,Decision2,Decision3,Decision4,Decision5,HealthStatus,Bias
88,3,5,2,5,2,85,0
89,5,5,4,2,2,85,1
90,3,4,5,1,4,80,0
91,0,2,2,1,0,75,1
92,2,0,5,0,4,80,0
93,3,3,5,0,5,85,1
94,2,0,4,3,2,75,0
95,0,1,1,5,4,80,1
96,4,0,5,5,0,85,0
97,5,4,1,0,3,80,1
98,1,0,1,3,5,80,0
99,5,5,3,5,1,90,1
100,3,5,0,0,1,80,0
101,0,3,5,3,0,80,1
102,1,1,4,5,1,80,0
103,3,5,3,1,2,80,1
104,5,0,2,0,3,80,0
105,1,3,2,5,2,80,1
106,4,1,5,4,0,80,0
107,1,3,2,0,4,75,1
108,0,4,0,5,4,80,0
109,5,3,4,4,0,80,1
110,3,3,0,5,5,85,0
111,0,4,4,1,4,75,1
112,5,4,2,3,1,80,0
113,2,3,2,5,5,85,1
114,3,1,3,3,0,75,0
115,4,2,4,4,2,75,1
116,5,1,2,1,4,80,0
117,3,4,3,0,1,75,1
118,0,1,2,1,2,75,0
119,1,5,0,1,1,80,1
120,5,3,1,3,0,80,0
121,5,3,3,0,1,80,1
122,3,4,2,1,5,80,0
123,2,0,2,3,3,75,1
124,2,3,3,4,0,75,0
125,3,2,5,0,5,85,1
126,1,1,5,3,3,80,0
127,4,2,0,5,4,80,1
128,2,5,2,1,0,80,0
129,3,1,3,0,1,75,1
130,4,1,4,3,3,75,0
131,1,0,3,2,2,75,1
132,5,2,1,5,4,85,0
133,3,1,3,3,3,75,1
134,2,0,5,1,4,80,0
135,5,0,4,5,3,85,1
136,2,2,5,5,5,90,0
137,0,4,0,2,4,75,1
138,4,5,5,5,5,95,0
139,3,2,3,5,3,80,1
140,2,3,1,5,1,80,0
141,1,0,5,1,5,85,1
142,0,4,2,2,2,75,0
143,4,4,1,0,0,75,1
144,0,0,1,5,5,85,0
145,4,5,3,2,3,80,1
146,5,2,5,4,0,85,0
147,3,5,5,3,0,85,1
148,0,5,2,4,3,80,0
149,4,2,2,4,2,75,1
150,5,5,3,1,4,85,0
151,3,5,0,4,4,80,1
152,4,1,0,1,5,80,0
153,3,5,2,5,5,90,1
154,1,5,2,3,0,80,0
155,1,4,4,5,4,80,1
156,5,2,3,5,5,90,0
157,5,0,0,3,5,85,1
158,0,4,1,5,5,85,0
159,3,3,5,3,2,80,1
160,3,0,5,2,1,80,0
161,0,4,2,2,0,75,1
162,4,0,0,2,1,75,0
163,5,5,2,5,3,90,1
164,5,5,1,2,5,90,0
165,0,0,3,4,4,75,1
166,4,3,0,4,3,75,0
167,5,1,1,0,3,80,1
168,3,1,0,2,3,75,0
169,0,5,2,3,4,80,1
170,2,0,4,5,3,80,0
171,4,0,0,5,0,80,1
172,1,3,5,3,0,80,0
173,2,5,4,5,0,85,1
174,5,0,2,3,0,80,0
175,4,5,4,5,5,90,1
176,0,4,1,1,2,75,0
177,5,2,0,2,4,80,1
178,4,0,1,1,5,80,0
179,1,3,2,4,0,75,1
180,5,5,0,4,5,90,0
181,1,3,3,2,0,75,1
182,0,0,5,1,1,80,0
183,1,0,4,5,3,80,1
184,0,3,4,5,0,80,0
185,4,3,5,2,1,80,1
186,1,1,0,5,1,80,0
187,4,0,1,5,0,80,1
188,1,3,2,2,2,75,0
189,2,3,1,1,5,80,1
190,3,5,0,5,3,85,0
191,4,0,2,4,2,75,1
192,3,0,0,5,3,80,0
193,5,4,1,2,5,85,1
194,5,4,3,1,0,80,0
195,0,4,3,1,0,75,1
196,3,0,5,5,0,85,0
197,2,5,5,5,2,90,1
198,0,0,1,3,1,75,0
199,4,2,4,4,0,75,1
200,0,5,1,3,5,85,0
