SubjID,Decision1,Bias1,Decision2,Bias2,Decision3,Bias3,HealthStatus
62,1,1,2,1,2,1,100
63,5,0,4,0,5,0,75
64,0,0,2,0,0,0,85
65,0,0,4,1,3,1,90
66,1,1,2,1,3,1,95
67,2,1,3,0,1,0,100
68,5,1,2,1,2,1,80
69,5,1,0,0,2,0,95
70,1,1,3,1,2,1,90
71,1,0,4,0,1,0,90
72,1,1,5,0,1,0,75
73,2,0,0,1,1,1,85
74,4,1,4,1,1,1,75
75,0,0,4,0,1,0,100
76,3,1,5,0,1,0,80
77,0,0,4,0,5,0,90
78,1,1,1,0,2,0,95
79,2,1,5,1,1,1,75
80,1,1,5,0,4,0,75
81,1,1,2,0,0,0,100
82,0,0,2,1,2,1,90
83,1,0,5,1,2,1,80
84,0,1,0,1,5,1,75
85,5,1,0,0,1,0,80
86,2,1,1,1,5,1,100
87,4,1,0,0,4,0,80
88,0,0,4,0,2,0,80
89,2,1,5,1,1,1,90
90,3,0,4,0,2,0,100
91,5,0,5,0,2,0,90
92,5,1,0,1,5,1,100
93,5,0,3,1,1,1,95
94,4,1,4,0,2,0,75
95,5,1,3,0,3,0,100
96,1,0,2,0,3,0,75
97,3,1,5,1,0,1,95
98,5,1,2,1,1,1,100
99,2,0,4,1,0,1,90
100,1,1,4,0,4,0,90
101,5,0,5,0,1,0,100
102,0,0,3,0,0,0,80
103,1,1,1,0,3,0,85
104,3,0,3,0,3,0,90
105,3,0,2,0,3,0,90
106,2,1,0,1,2,1,100
107,1,0,5,1,3,1,80
108,5,1,4,1,0,1,90
109,3,0,5,0,3,0,100
110,3,0,5,1,2,1,100
111,3,0,5,1,0,1,85
112,4,0,0,0,2,0,80
113,0,1,5,1,5,1,85
114,4,0,1,0,0,0,75
115,1,0,3,0,2,0,80
116,3,1,5,0,0,0,75
117,0,1,4,0,2,0,100
118,1,0,0,1,1,1,95
119,1,1,5,0,1,0,85
120,1,1,5,0,3,0,90
121,0,1,3,1,2,1,100
122,4,0,3,1,5,1,85
123,0,0,1,1,3,1,90
124,0,1,3,1,5,1,85
125,4,1,1,1,4,1,75
126,0,0,2,0,2,0,80
127,2,1,1,1,2,1,90
128,4,0,0,1,2,1,95
129,5,0,2,0,5,0,100
130,2,0,1,1,2,1,90
131,5,1,1,1,1,1,75
132,5,1,1,0,0,0,80
133,3,1,1,1,1,1,90
134,5,0,1,0,5,0,95
135,0,1,0,1,3,1,95
136,5,0,0,0,1,0,100
137,1,1,4,0,4,0,80
138,4,0,4,0,0,0,90
139,3,0,5,0,3,0,85
140,2,1,1,0,2,0,85
141,4,1,2,0,0,0,75
142,0,0,5,1,0,1,90
143,5,1,4,1,1,1,80
144,1,0,2,0,1,0,95
145,4,1,3,0,5,0,75
146,1,1,4,0,4,0,75
147,5,1,2,1,1,1,80
148,5,1,0,1,0,1,80
149,4,1,1,0,1,0,95
150,1,1,5,1,4,1,90
151,1,0,5,1,0,1,95
152,2,0,2,1,0,1,85
153,4,1,1,0,1,0,85
154,0,1,2,1,2,1,90
155,1,1,5,1,2,1,75
156,5,1,3,0,4,0,75
157,3,1,4,0,4,0,75
158,1,1,5,1,1,1,100
159,1,1,1,0,1,0,75
160,4,0,2,1,4,1,95
161,5,0,2,1,0,1,85
162,5,1,0,0,5,0,100
163,1,1,4,1,5,1,80
164,1,0,5,0,0,0,85
165,3,1,3,0,1,0,100
166,3,0,4,1,2,1,80
167,3,1,1,0,2,0,100
168,3,0,5,0,3,0,80
169,1,0,1,0,2,0,85
170,1,0,5,1,4,1,80
171,1,0,1,0,2,0,85
172,1,0,0,1,1,1,80
173,4,1,2,1,3,1,100
174,5,0,5,1,1,1,100
175,4,1,0,0,2,0,80
176,4,1,5,1,3,1,75
177,2,1,4,0,0,0,80
178,4,0,1,1,1,1,95
179,3,1,2,1,3,1,85
180,4,1,4,1,5,1,75
181,5,0,1,0,2,0,90
182,0,1,0,0,0,0,100
183,2,1,3,1,1,1,100
184,0,1,1,0,5,0,80
185,5,1,0,1,5,1,80
186,1,1,2,0,4,0,95
187,3,1,5,1,5,1,85
188,3,0,3,1,4,1,80
189,3,1,2,1,5,1,100
190,1,1,5,0,3,0,90
191,5,0,5,1,2,1,90
192,3,0,5,0,4,0,85
193,0,1,5,0,3,0,75
194,3,1,3,1,0,1,95
195,1,1,4,0,1,0,90
196,3,0,0,0,3,0,75
197,4,0,3,1,1,1,100
198,1,1,2,0,0,0,85
199,2,0,4,0,3,0,95
200,2,0,4,0,0,0,95
